"age","cases...2","sex","cases...4"
0,35,"Male",17
0,35,"Female",18
1,47,"Male",22
1,47,"Female",25
2,54,"Male",20
2,54,"Female",34
3,80,"Male",35
3,80,"Female",45
4,65,"Male",31
4,65,"Female",34
5,49,"Male",20
5,49,"Female",29
6,19,"Male",9
6,19,"Female",10
7,15,"Male",10
7,15,"Female",5
8,6,"Male",5
8,6,"Female",1
9,13,"Male",7
9,13,"Female",6
10,8,"Male",5
10,8,"Female",3
11,5,"Male",3
11,5,"Female",2
12,4,"Male",3
12,4,"Female",1
13,9,"Male",7
13,9,"Female",2
14,5,"Male",4
14,5,"Female",1
15,6,"Male",4
15,6,"Female",2
16,5,"Female",5
